1
SKU,Quantity,Length,Width,Height,Weight,Strength,Aisle,Caustic
603416,1,307,229,115,6053,4,6,0,
699704,1,297,220,208,2613,3,10,0,
700267,1,276,149,188,2500,3,7,0,
700352,1,307,228,115,5827,4,6,0,
701193,1,203,192,179,2367,3,6,0,
703721,1,380,239,145,5820,4,6,0,
703951,1,370,274,71,3067,4,7,0,
704027,1,290,172,285,9787,3,6,0,
704044,1,290,172,288,9793,3,6,0,
704303,1,540,347,191,10620,4,6,0,
704480,1,567,249,277,4733,2,6,0,
704587,1,306,205,192,2047,2,6,0,
704598,1,306,205,192,1800,2,6,0,
704740,1,290,189,289,9967,3,6,0,
704757,1,501,267,192,10107,3,6,0,
704805,1,394,196,203,2200,3,6,0,
704854,1,293,184,287,8580,4,6,0,
705055,1,345,291,235,3920,3,6,0,
705448,1,348,259,115,7507,4,7,0,
705889,1,504,238,198,8173,3,6,0,
706623,1,305,129,174,1780,3,6,0,
707564,1,317,167,243,5447,3,6,0,
708116,1,421,271,227,17780,4,6,0,
708119,1,255,179,182,2580,2,6,0,
708120,1,441,409,154,18973,4,6,0,
708128,1,395,236,219,5827,3,6,0,
708130,1,394,237,219,5840,3,6,0,
708183,1,304,131,177,2447,3,6,0,
708186,1,395,185,175,5520,3,6,0,
708192,1,306,130,176,2020,3,6,0,
708196,1,303,127,173,2827,3,6,0,
708198,1,303,131,174,2847,3,6,0,
708567,1,357,259,168,12460,4,6,0,
712748,1,338,224,88,4960,4,6,0,
713749,2,309,228,115,5760,4,6,0,
714006,1,202,135,192,2000,3,7,0,
714146,1,292,221,134,6540,4,6,0,
714643,1,306,228,117,5873,4,6,0,
717852,1,351,260,100,3360,3,6,0,
717883,1,279,207,85,3560,4,6,0,
718889,1,446,259,218,6087,4,6,0,
722146,1,446,266,220,6360,3,6,0,
722549,1,353,261,164,12187,4,6,0,
722703,1,356,262,158,12280,4,6,0,
723018,1,242,138,150,1080,3,6,0,
725695,1,501,239,202,7400,4,6,0,
726439,1,351,259,110,8500,4,6,0,
731307,1,245,147,141,1760,3,7,0,
732023,1,542,120,80,3553,4,7,0,
733698,1,350,262,148,10140,4,6,0,
733716,1,293,223,135,6540,4,6,0,
733722,2,292,223,135,6573,4,6,0,
736390,1,320,154,187,6000,3,6,0,
737112,1,306,230,113,6347,4,7,0,
738722,1,323,239,130,7440,4,7,0,
738986,1,346,259,113,7527,4,7,0,
738995,1,345,259,114,7480,4,7,0,
739022,1,415,272,209,16893,4,7,0,
739294,1,251,201,137,2193,3,7,0,
739512,1,458,304,118,11400,4,7,0,
739528,1,373,199,209,11660,3,7,0,
740714,1,306,230,114,6180,4,6,0,
740748,1,349,257,183,12247,4,6,0,
740752,1,349,253,183,2680,4,6,0,
740753,1,307,222,165,8840,4,6,0,
740757,1,307,231,113,6160,4,6,0,
740973,1,412,308,121,10953,4,6,0,
741824,1,291,194,284,8360,4,6,0,
743805,1,404,130,186,3340,3,6,0,
746596,1,367,199,139,5940,3,6,0,
747093,2,507,304,201,8300,3,6,0,
748648,1,275,203,105,4187,4,7,0,
753284,1,371,198,208,11750,4,7,0,
753689,1,461,182,183,6093,3,6,0,
755960,1,400,135,189,3327,3,6,0,
759126,1,264,200,209,8860,4,6,0,
759662,1,397,289,82,870,2,6,0,
759903,1,351,261,115,7893,4,6,0,
760192,1,293,168,290,8120,4,6,0,
761202,1,305,224,157,3653,3,6,0,
761256,1,327,245,91,4580,4,6,0,
761446,1,279,204,104,4147,4,7,0,
761650,1,326,246,91,4647,4,6,0,
761682,1,278,208,84,3560,4,6,0,
761695,1,304,226,115,5960,4,6,0,
762068,1,321,246,146,8900,4,6,0,
762265,1,412,312,161,15760,4,6,0,
762768,1,337,221,174,9900,4,6,0,
763558,1,308,178,142,6120,3,7,0,
763560,1,308,180,141,6240,3,7,0,
765046,1,372,272,153,12127,4,6,0,
765092,1,461,304,104,11000,4,6,0,
765131,1,327,242,128,7263,4,7,0,
765357,1,274,208,84,3460,4,6,0,
765667,1,276,213,89,3360,4,6,0,
765790,1,293,171,283,8920,4,6,0,
765860,1,344,262,240,16087,4,6,0,
765942,1,329,247,106,3387,3,6,0,
765943,1,333,253,105,3293,3,6,0,
767325,1,413,307,122,11320,4,6,0,
767735,1,309,228,115,6007,4,6,0,
768171,1,407,133,194,3407,3,6,0,
769412,1,413,274,77,6420,4,6,0,
769600,1,372,280,150,12360,4,6,0,
769853,1,294,172,280,8220,4,6,0,
769927,1,253,176,181,2560,3,6,0,
770564,1,434,327,133,13900,4,6,0,
770971,1,311,230,116,5733,4,6,0,
771117,1,309,230,116,5800,4,6,0,
772345,1,233,136,216,1533,2,6,0,
772900,1,331,251,110,3387,3,6,0,
775255,1,315,230,226,11840,4,6,0,
775859,1,308,171,177,2727,3,6,0,
779160,1,399,290,81,880,2,6,0,
780922,1,449,240,162,5567,3,6,0,
783128,1,442,186,162,1280,2,6,0,
785571,1,362,268,109,8540,4,6,0,
785841,1,496,243,202,8180,4,6,0,
786243,1,279,206,103,4220,4,7,0,
786452,1,325,241,131,7300,4,7,0,
786730,1,355,261,89,6227,4,7,0,
787557,1,351,258,69,4273,4,7,0,
794849,1,366,227,199,4593,3,6,0,
797551,1,572,256,186,3047,3,6,0,
799564,1,413,272,104,8553,4,7,0,
